participant,task,file,start,end
14,1,4.py,00:22:03,00:22:28
14,1,3.py,00:24:53,00:25:08
14,2,1.py,00:29:48,00:30:03
14,2,1.py,00:30:28,00:30:48
14,2,1.py,00:30:53,00:31:03
14,2,1.py,00:31:38,00:31:53
14,2,2.c,00:33:03,00:33:48
14,2,2.c,00:34:18,00:34:58
14,2,2.c,00:35:03,00:35:53
14,2,3.py,00:36:23,00:36:28
14,2,3.py,00:38:28,00:38:58
14,2,3.py,00:39:38,00:40:18
14,2,3.py,00:40:28,00:40:48
